#WIRE    t0   t0_err    entries 
1          2          1.76985          1101
2          -1          3.32704          865
3          3          3.1689          899
4          6          2.12953          870
5          0          4.20838          823
6          3          3.61327          837
7          1          4.05867          767
8          3          3.50189          782
9          4          3.28942          713
10          -3          2.17867          677
11          -4          3.07954          654
12          6          3.42348          644
13          9          3.74244          638
14          11          4.25564          594
15          8          4.71268          593
16          0          3.20175          560
17          4          3.10507          599
18          -136          499.971          523
19          9          4.35556          500
20          3          2.18917          498
21          0          3.38866          480
22          11          4.22693          483
23          -2          6.65786          491
24          -1          4.85948          433
25          6          5.97062          423
26          4          4.18608          369
27          0          12.701          412
28          -2          16.2204          346
29          16          8.04519          319
30          9          8.85001          338
31          -4          10.7032          290
32          14          26.1206          253
33          3          18.1973          281
34          15          17.8761          235
35          12          16.2999          238
36          11          8.46038          238
37          15          10.2879          239
38          18          8.46313          229
39          3          12.3953          229
40          -56          165.81          216
41          -59          222.674          201
42          5          15.3498          194
43          -36          96.4058          188
44          -6          42.4232          149
45          -6          49.7381          156
46          -4          35.5996          160
47          14          15.9904          136
48          -11          72.0976          138
49          8          24.8426          138
50          2047393252          9.30443e+24          139
51          4          12.3903          156
52          57          82.4772          134
53          -54          178.046          115
54          -67          240.911          134
55          -15          75.5714          137
56          -1778667285          3.95088e+25          121
57          -7          31.7428          122
58          -17          39.8297          136
59          -2          11.8226          127
60          -3          15.2872          130
61          -258          3701.2          115
62          70          257.804          118
63          39          58.5601          107
64          -13          43.7953          110
65          2054509174          6.39683e+25          121
66          19          25.6208          119
67          15          17.7054          130
68          43          141.911          114
69          -36          117.745          124
70          21          22.5031          131
71          65          351.298          115
72          1108389423          1.97418e+25          118
73          -1          38.666          119
74          68          202.268          109
75          5          35.0589          116
76          -167          2395.88          126
77          -14          61.7954          110
78          -58          309.501          101
79          101          444.372          106
80          -36          264.602          101
81          -4          16.4181          126
82          30          37.7258          108
83          10          34.6868          107
84          966          59899.4          119
85          -253591362          9.9356e+23          110
86          -43          159.438          98
87          14          53.415          108
88          -12          28.6195          100
89          0          32.1808          97
90          12          70.6207          104
91          27          58.5099          93
92          0          20.4362          86
93          36          77.5881          88
94          -990174          1.6652e+11          89
95          -217          2513.41          87
96          -14          134.515          101
97          -41          110.511          151
98          -1910976642          2.67406e+26          100
99          -22          71.5641          102
100          44          112.281          91
101          -54          484.978          95
102          23          30.1313          100
103          -56          350.042          93
104          -818597908          3.92213e+23          110
105          -12          59.5402          103
106          24          53.5536          99
107          47          80.8134          91
108          -1032549677          1.13462e+27          106
109          -1484540140          2.74981e+24          101
110          1356955812          3.13776e+26          106
111          -38          251.277          89
112          3          20.5115          92
113          81          296.55          180
