#WIRE    t0   t0_err    entries 
1          -8          0.708346          3042
2          -11          1.04491          3418
3          -11          1.0224          4184
4          -11          0.973101          3455
5          -12          1.0174          3574
6          -7          0.50956          3885
7          -12          0.978972          3770
8          -10          0.946297          3935
9          -11          0.987716          3726
10          -8          0.626033          3697
11          -7          0.49764          3680
12          -7          0.549168          3697
13          -7          0.520579          3426
14          -10          0.951782          3571
15          -8          0.572738          3519
16          -10          0.894601          3722
17          -7          0.497797          3411
18          -8          0.563383          3502
19          -7          0.588162          3628
20          -8          0.604338          3442
21          -8          0.587732          3417
22          -7          0.550173          3353
23          -7          0.55017          3674
24          -7          0.544797          3460
25          -7          0.572249          3391
26          -7          0.624322          3284
27          -9          0.62192          3408
28          -10          0.75619          3370
29          -8          0.583785          3454
30          -7          0.498075          3465
31          -8          0.5899          3411
32          -7          0.523363          3379
33          -8          0.604341          3504
34          -8          0.625269          3280
35          -7          0.509893          3398
36          -7          0.558223          3419
37          -8          0.586058          3506
38          -8          0.578709          3514
39          -7          0.668546          3224
40          -12          0.866306          3383
41          -10          0.808698          3409
42          -11          0.840171          3359
43          -11          0.920126          3450
44          -10          0.737338          3393
45          -10          0.793765          3475
46          -12          0.933157          3443
47          -11          0.951099          3241
48          -11          0.876832          3318
49          -12          0.973769          3199
50          -12          1.02715          3218
51          -11          1.05272          3413
52          -7          0.488186          3233
