 #Wire       t_zero       t_zero_err       entries 
1        -2        1.1971        479
2        -1        1.00982        774
3        -5        0.929719        808
4        -1        0.532479        798
5        -2        0.677856        825
6        -3        0.718356        856
7        -2        0.558357        902
8        -4        0.960271        839
9        -2        0.890189        889
10        -4        0.818098        843
11        -3        0.614756        918
12        0        0.684161        853
13        -2        0.829833        842
14        0        0.840643        956
15        4        1.15969        927
16        -1        0.964363        855
17        5        1.5531        868
18        0        1.09357        932
19        5        1.60895        925
20        6        1.49214        939
21        3        0.950305        869
22        5        1.18487        952
23        3        1.09347        902
24        3        1.13267        918
25        4        1.42382        905
26        6        1.98651        844
27        4        1.01585        945
28        2        0.887777        937
29        3        0.887308        887
30        2        0.912578        936
31        0        0.644586        989
32        2        1.37159        974
33        2        1.19329        984
34        6        1.3675        987
35        4        1.19125        983
36        4        0.95812        976
37        0        0.723722        954
38        6        1.50222        999
39        4        1.30195        937
40        0        0.717231        895
41        0        0.618643        950
42        0        1.02301        929
44        0        0.962409        875
45        3        0.833712        1003
46        -1        0.651234        959
47        0        0.89317        959
48        0        0.989714        983
49        2        0.929784        988
50        1        0.858003        1013
51        0        0.691301        1002
52        0        0.786546        1045
