 #Wire       t_zero       t_zero_err       entries 
81        9        5.55558        311
82        -3        4.34392        304
83        0        3.05022        350
84        -2        5.44652        351
85        -9        11.0591        373
86        1        3.27273        374
87        -36        48.9038        400
88        -15        10.0032        397
89        2        4.58186        418
90        -1        1.7952        449
91        4        3.09574        454
92        -6        4.55232        428
93        -7        5.4345        482
94        -75        163.543        493
95        -4        2.40171        506
96        2        2.79538        523
97        -14        4.06238        565
98        -35        26.3721        534
99        -13        3.79583        595
100        -21        6.42155        605
101        -20        6.43649        617
102        -22        7.69559        596
103        -24        8.25227        693
104        -20        5.38275        718
105        -46        57.1641        723
106        -25        7.3684        777
107        -23        5.84852        814
108        -23        5.40224        840
109        -20        5.62752        806
110        -30        11.646        880
111        -20        4.83749        853
112        -22        5.79982        868
113        -13        2.97965        822
