#WIRE    t0   t0_err    entries 
1          -19          3.1402          2077
2          516687793          2.90072e+27          38
3          -23          4.42439          2255
4          -26          5.13095          2087
5          -20          3.19918          2039
6          -22          3.47668          2005
7          -19          3.31174          1986
8          -22          3.76435          1862
9          -21          4.08348          1838
10          -20          3.49461          1830
11          -26          5.02526          1789
12          -26          5.73652          1901
13          -22          4.14625          1753
14          -22          3.96581          1856
15          -18          2.762          1738
16          -18          2.98016          1846
17          -21          3.26784          1744
18          -28          8.99945          1703
19          -26          7.09746          1674
20          -18          2.62711          1724
21          -22          3.79668          1681
22          -25          6.43985          1666
23          -21          3.97361          1631
24          -23          4.68993          1646
25          -21          3.39335          1620
26          -19          3.64369          1553
27          -22          4.31211          1626
28          -20          3.68419          1559
29          -28          8.24376          1493
30          -21          5.45448          1543
31          -16          3.11057          1479
32          -22          5.07897          1538
33          -16          3.63562          1494
34          -17          3.24387          1490
35          -19          3.96804          1446
36          -18          3.51408          1480
37          -17          3.39182          1412
38          -15          2.83724          1393
39          -18          3.64363          1456
40          -17          3.04251          1423
41          -18          3.63788          1279
42          -23          5.41407          1329
43          -22          4.10587          1360
44          -25          7.03734          1277
45          -14          2.47252          1250
46          -17          4.55989          1319
47          -12          2.11562          1371
48          -16          3.57173          1326
49          -18          4.85796          1234
50          -18          3.46702          1253
51          -17          4.32372          1218
52          -16          3.31551          1224
53          -16          3.22146          1292
54          -12          2.25517          1193
55          -14          2.51895          1251
56          -13          2.985          1158
57          -12          2.26413          1170
58          -13          2.1246          1269
59          -21          6.01025          1125
60          -13          3.034          1110
61          -16          3.53858          1137
62          -18          4.2412          1153
63          -23          9.87374          1158
64          -17          4.0098          1015
65          -17          3.64706          1081
66          -19          6.93703          1070
67          -16          3.66547          1016
68          -18          5.63591          992
69          -13          2.65642          997
70          -18          4.30157          1034
71          -17          3.3849          1005
72          -16          3.6271          1002
73          -26          10.5944          966
74          -22          6.59125          961
75          -24          7.22245          948
76          -20          7.08657          926
77          -20          6.85172          898
78          -12          2.72125          907
79          -15          2.98047          924
80          -20          5.6228          925
81          -17          3.73352          865
82          -18          3.87633          902
83          -19          5.25845          859
84          -17          4.97859          845
85          -18          5.31631          839
86          -18          5.44571          796
87          -14          2.57954          841
88          -15          3.34055          794
89          -24          8.7465          842
90          -17          4.42638          784
91          -15          4.28319          710
92          -49          46.3377          731
93          -21          10.5395          764
94          -15          3.48567          788
95          -16          4.65576          751
96          -16          5.45978          696
97          -17          4.55244          721
98          -14          3.24627          681
99          -22          8.26697          655
100          -24          14.7196          646
101          -16          5.14449          640
102          -26          14.1106          605
103          -29          22.5847          583
104          -15          5.60712          567
105          -14          5.78358          550
106          -13          3.97472          534
107          -13          3.84986          515
