#WIRE    t0   t0_err    entries 
1          -31          7.58915          2233
2          -24          4.02149          1828
3          -26          4.99752          1809
4          -23          3.76602          1746
5          -24          3.72088          1780
6          -29          6.3268          1691
7          -25          4.49714          1719
8          -29          4.96535          1668
9          -25          5.01204          1605
10          -29          7.41656          1556
11          -31          8.10672          1624
12          -22          3.55173          1570
13          -24          4.61485          1520
14          -26          5.37448          1521
15          -28          5.76871          1518
16          -26          5.2681          1484
17          -18          4.04187          1430
18          -17          2.86282          1471
19          -21          4.57025          1370
20          -15          2.65233          1388
21          -19          5.10761          1451
22          -21          5.26737          1341
23          -19          3.68133          1432
24          -17          3.05287          1297
25          -23          6.6585          1338
26          -21          4.63279          1353
27          -19          3.84435          1313
28          -15          3.20309          1172
29          -23          7.54392          1230
30          -24          5.95755          1235
31          -17          2.90096          1220
32          -20          5.68692          1186
33          -11          2.26338          1183
34          -18          4.7578          1113
35          -12          2.3955          1168
36          -16          3.3216          1154
37          -15          3.60831          1182
38          -12          2.47069          1116
39          -15          3.36835          1116
40          -15          3.09202          1127
41          -12          2.64076          1162
42          -10          1.95338          1161
43          -16          4.48405          1073
44          -17          4.41822          1061
45          -14          3.31349          1070
46          -20          7.05144          1023
47          -11          2.25633          1003
48          -16          3.95891          1012
49          -9          1.65676          1053
50          -16          4.08507          1047
51          -12          2.63633          1006
52          -11          2.97772          988
53          -13          3.68756          981
54          -14          3.38648          1065
55          -16          4.93138          1014
56          -10          1.99062          1006
57          -16          4.92019          906
58          -18          5.30254          952
59          -10          1.9003          980
60          -19          5.24833          914
61          -19          6.57678          947
62          -11          3.67564          870
63          -19          5.73943          896
64          -13          4.56376          791
65          -15          4.02581          922
66          -20          6.02593          835
67          -11          2.31067          871
68          -11          2.48425          837
69          -12          2.8199          847
70          -14          3.13739          905
71          -13          3.44309          840
72          -18          4.51407          871
73          -9          1.67144          847
74          -8          2.46455          703
75          -20          6.88035          780
76          -21          7.92575          794
77          -20          7.53086          763
78          -26          12.2071          772
79          -20          9.18266          720
80          -24          11.6262          674
81          -6          2.41736          761
82          -9          2.20378          708
83          -10          2.8833          644
84          -12          3.14991          747
85          -16          6.54883          648
86          -24          11.8676          712
87          -13          3.80716          639
88          -19          9.92242          665
89          -15          4.94111          679
90          -8          2.48931          665
91          -40          52.4231          646
92          -14          5.20879          598
93          -14          4.48696          620
94          -14          3.8168          631
95          -23          8.7841          638
96          -13          5.44368          555
97          -15          7.25804          531
98          -18          8.47755          574
99          -10          4.74964          503
100          -20          7.81841          577
101          -10          2.71166          575
102          -14          6.13868          502
103          -21          12.5175          539
104          -10          2.43845          557
105          -45          65.5821          537
106          -12          3.53473          517
107          -18          6.08748          529
108          -14          5.43389          441
109          -14          4.4451          452
110          -30          27.0423          377
111          -28          24.2783          340
112          -13          6.29872          367
113          -21          7.34717          654
